ticker,strategy,total_return,sharpe,max_drawdown
AAPL,Q-Learning,0.06448315220253899,0.5404524079834269,-0.1158006448726055
AAPL,Buy-and-Hold,0.34895496117368896,1.4521153817474277,-0.15462646689363121
AAPL,Random,0.14990207169169897,1.0045284611250611,-0.1443009373494539
AMZN,Q-Learning,0.2993262831741731,1.2524077755791048,-0.23759153370999034
AMZN,Buy-and-Hold,0.4632829327489757,1.5008485972120116,-0.19489997863769476
AMZN,Random,0.1969749757626043,1.0491863915854753,-0.0813479196795905
GOOG,Q-Learning,0.058270846171138875,0.35517834220388217,-0.21363028124602335
GOOG,Buy-and-Hold,0.364574417977122,1.2629102117604132,-0.22381402240394974
GOOG,Random,-0.015533287351896616,0.054446649320894575,-0.2481327393923983
META,Q-Learning,0.2889294632966392,0.9461955115348705,-0.18554686724020703
META,Buy-and-Hold,0.6908082685546914,1.6233956129971003,-0.18426443751512556
META,Random,-0.03969966039727951,-0.05899556551984774,-0.2286838929333575
MSFT,Q-Learning,0.086614839800982,0.5673208272349335,-0.13754609155600794
MSFT,Buy-and-Hold,0.13651685374767694,0.7449643716807143,-0.15486783309137725
MSFT,Random,-0.017465826799468415,-0.03276476697184549,-0.16149972321786646
NVDA,Q-Learning,0.7581150301169226,1.5782134289489547,-0.18000338441023156
NVDA,Buy-and-Hold,1.7879504095683758,2.2231014629532333,-0.27046760343490356
NVDA,Random,0.8015401780507545,1.7607937855778293,-0.12955265901045698
