passes,return,sharpe,max_dd,config
500,23.86,0.842,-28.64,conf_only
1000,8.61,0.312,-26.15,conf_only
1500,39.46,1.492,-23.64,conf_only
2000,18.64,0.674,-33.29,conf_only
2500,2.99,0.118,-20.33,conf_only
500,45.06,1.572,-26.18,vol_only
1000,51.18,1.563,-24.62,vol_only
1500,14.07,0.539,-37.13,vol_only
2000,32.95,1.154,-32.56,vol_only
2500,-6.52,-0.252,-29.82,vol_only
500,45.33,1.601,-29.72,both
1000,50.7,1.781,-18.98,both
1500,13.82,0.441,-24.72,both
2000,-8.2,-0.349,-29.05,both
2500,37.48,1.446,-22.52,both
